AplicacionID,ClaveAplicacion,NumLinea,Referencia,ObjetoBDID,Objeto,TipoObjetoID,TipoObjeto,BaseDatosID,BaseDatos,Archivo,Extension,BibPadre,ObjPadre
"0","5","94","Caption         =   Correccion de errores en posici�n","1997","ERRORES","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmFondoPensiones.frm","FRM","frmFondoPensiones","frmFondoPensiones"
"0","5","94","Caption         =   Correccion de errores en posici�n","2541","ERRORES","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmFondoPensiones.frm","FRM","frmFondoPensiones","frmFondoPensiones"
"0","5","24","Caption         =   Parametros","2163","PARAMETROS","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmHistBack.frm","FRM","frmHistBack","frmHistBack"
"0","5","24","Caption         =   Parametros","2602","PARAMETROS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmHistBack.frm","FRM","frmHistBack","frmHistBack"
"0","5","39","Caption         =   Graficar Resultados","349","RESULTADOS","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmHistBack.frm","FRM","frmHistBack","frmHistBack"
"0","5","4","Caption         =   Lista de operaciones relacionadas","2140","OPERACIONES","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmListaOpR.frm","FRM","frmListaOpR","frmListaOpR"
"0","5","4","Caption         =   Lista de operaciones relacionadas","2715","OPERACIONES","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmListaOpR.frm","FRM","frmListaOpR","frmListaOpR"
"0","5","214","MsgBox El usuario  & txtusuario &  esta inhabilitado en directorio activo de windows","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmLogin.frm","FRM","frmLogin","frmLogin"
"0","5","222","MsgBox El usuario  & MatUsuarios(indice0, 2) &  esta bloqueado. Llame a mesa de servicio","11","Servicio","7","CONEXION","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmLogin.frm","FRM","frmLogin","frmLogin"
"0","5","222","MsgBox El usuario  & MatUsuarios(indice0, 2) &  esta bloqueado. Llame a mesa de servicio","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmLogin.frm","FRM","frmLogin","frmLogin"
